Cod_setor;Situacao_setor;V001;V002;V003
350220005000017;8;54;0;0
350220005000018;8;44;0;0
350220005000019;8;25;0;0
350220005000020;8;7;X;X
350220005000021;8;35;0;0
350220005000022;8;1;X;X
350220005000024;8;55;0;0
350220005000025;8;48;0;0
350220005000026;1;84;0;1
350220005000027;1;102;0;0
350220005000028;1;76;0;0
350220005000029;1;116;0;0
350220005000030;1;143;0;0
350220005000031;1;134;0;0
350220005000032;8;66;0;1
350220005000033;8;15;0;0
350220005000034;8;73;0;0
350220005000035;8;78;0;0
350220008000001;1;162;0;0
350220008000002;8;113;0;0
350220008000003;8;96;0;0
350220008000004;1;79;0;0
350220008000005;1;78;0;0
350220008000006;8;95;0;0
350230905000001;1;14;0;0
350230905000002;1;25;0;0
350230905000003;1;42;0;0
350230905000004;1;80;0;0
350230905000005;1;115;X;X
350230905000006;1;27;0;0
350230905000007;1;0;X;X
350230905000008;1;1;0;0
350230905000009;8;56;0;0
