Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Rafard;  8 612 ;   556 ;   629 ;   669 ;   409 ;   276 ;   784 ;Rafard;   789 ;   715 ;   626 ;  1 215 ;   851 ;   555 ;   538 ;354210705;;;;;;;
Rancharia;  28 804 ;  1 756 ;  2 037 ;  2 274 ;  1 471 ;   967 ;  2 342 ;Rancharia;  2 261 ;  2 131 ;  2 054 ;  4 367 ;  3 123 ;  2 131 ;  1 890 ;3542206;;;;;;;
Agissê;   824 ;   54 ;   61 ;   62 ;   37 ;   28 ;   56 ;Agissê;   55 ;   55 ;   57 ;   119 ;   91 ;   77 ;   72 ;354220610;;;;;;;
Gardênia;   811 ;   38 ;   53 ;   62 ;   42 ;   19 ;   45 ;Gardênia;   53 ;   51 ;   62 ;   126 ;   95 ;   104 ;   61 ;354220615;;;;;;;
Rancharia;  27 169 ;  1 664 ;  1 923 ;  2 150 ;  1 392 ;   920 ;  2 241 ;Rancharia;  2 153 ;  2 025 ;  1 935 ;  4 122 ;  2 937 ;  1 950 ;  1 757 ;354220605;;;;;;;
Redenção da Serra;  3 873 ;   265 ;   284 ;   356 ;   209 ;   124 ;   257 ;Redenção da Serra;   268 ;   269 ;   284 ;   507 ;   466 ;   301 ;   283 ;3542305;;;;;;;
Redenção da Serra;  3 873 ;   265 ;   284 ;   356 ;   209 ;   124 ;   257 ;Redenção da Serra;   268 ;   269 ;   284 ;   507 ;   466 ;   301 ;   283 ;354230505;;;;;;;
Regente Feijó;  18 494 ;  1 162 ;  1 166 ;  1 454 ;   911 ;   563 ;  1 495 ;Regente Feijó;  1 519 ;  1 480 ;  1 356 ;  2 758 ;  2 104 ;  1 325 ;  1 201 ;3542404;;;;;;;
Espigão;  1 438 ;   83 ;   93 ;   99 ;   54 ;   42 ;   116 ;Espigão;   114 ;   107 ;   109 ;   196 ;   198 ;   128 ;   99 ;354240410;;;;;;;
Regente Feijó;  17 056 ;  1 079 ;  1 073 ;  1 355 ;   857 ;   521 ;  1 379 ;Regente Feijó;  1 405 ;  1 373 ;  1 247 ;  2 562 ;  1 906 ;  1 197 ;  1 102 ;354240405;;;;;;;
Reginópolis;  7 323 ;   349 ;   359 ;   393 ;   244 ;   484 ;  1 517 ;Reginópolis;   772 ;   559 ;   461 ;   739 ;   604 ;   432 ;   410 ;3542503;;;;;;;
Reginópolis;  7 323 ;   349 ;   359 ;   393 ;   244 ;   484 ;  1 517 ;Reginópolis;   772 ;   559 ;   461 ;   739 ;   604 ;   432 ;   410 ;354250305;;;;;;;
Registro;  54 261 ;  3 808 ;  4 411 ;  5 240 ;  2 967 ;  1 690 ;  4 244 ;Registro;  4 349 ;  4 487 ;  4 061 ;  7 185 ;  5 313 ;  3 549 ;  2 957 ;3542602;;;;;;;
Registro;  54 261 ;  3 808 ;  4 411 ;  5 240 ;  2 967 ;  1 690 ;  4 244 ;Registro;  4 349 ;  4 487 ;  4 061 ;  7 185 ;  5 313 ;  3 549 ;  2 957 ;354260205;;;;;;;
Restinga;  6 587 ;   540 ;   576 ;   644 ;   375 ;   208 ;   642 ;Restinga;   547 ;   509 ;   449 ;   844 ;   658 ;   318 ;   277 ;3542701;;;;;;;
Restinga;  6 587 ;   540 ;   576 ;   644 ;   375 ;   208 ;   642 ;Restinga;   547 ;   509 ;   449 ;   844 ;   658 ;   318 ;   277 ;354270105;;;;;;;
Ribeira;  3 358 ;   243 ;   294 ;   329 ;   200 ;   100 ;   213 ;Ribeira;   222 ;   208 ;   242 ;   404 ;   364 ;   292 ;   247 ;3542800;;;;;;;
Ribeira;  3 358 ;   243 ;   294 ;   329 ;   200 ;   100 ;   213 ;Ribeira;   222 ;   208 ;   242 ;   404 ;   364 ;   292 ;   247 ;354280005;;;;;;;
Ribeirão Bonito;  12 135 ;   926 ;   922 ;  1 013 ;   627 ;   415 ;  1 118 ;Ribeirão Bonito;  1 050 ;   964 ;   896 ;  1 565 ;  1 150 ;   759 ;   730 ;3542909;;;;;;;
Guarapiranga;  1 281 ;   98 ;   106 ;   89 ;   63 ;   36 ;   121 ;Guarapiranga;   114 ;   90 ;   74 ;   164 ;   150 ;   90 ;   86 ;354290910;;;;;;;
Ribeirão Bonito;  10 854 ;   828 ;   816 ;   924 ;   564 ;   379 ;   997 ;Ribeirão Bonito;   936 ;   874 ;   822 ;  1 401 ;  1 000 ;   669 ;   644 ;354290905;;;;;;;
Ribeirão Branco;  18 269 ;  1 468 ;  1 783 ;  2 178 ;  1 191 ;   672 ;  1 480 ;Ribeirão Branco;  1 442 ;  1 401 ;  1 241 ;  2 181 ;  1 496 ;  1 071 ;   665 ;3543006;;;;;;;
Campina de Fora;  2 590 ;   221 ;   297 ;   358 ;   192 ;   114 ;   183 ;Campina de Fora;   211 ;   184 ;   172 ;   286 ;   169 ;   133 ;   70 ;354300615;;;;;;;
Itabôa;  3 675 ;   322 ;   396 ;   437 ;   242 ;   144 ;   325 ;Itabôa;   329 ;   278 ;   217 ;   405 ;   273 ;   181 ;   126 ;354300625;;;;;;;
Ribeirão Branco;  12 004 ;   925 ;  1 090 ;  1 383 ;   757 ;   414 ;   972 ;Ribeirão Branco;   902 ;   939 ;   852 ;  1 490 ;  1 054 ;   757 ;   469 ;354300605;;;;;;;
Ribeirão Corrente;  4 273 ;   328 ;   342 ;   417 ;   238 ;   139 ;   393 ;Ribeirão Corrente;   359 ;   340 ;   337 ;   521 ;   402 ;   274 ;   183 ;3543105;;;;;;;
Ribeirão Corrente;  4 273 ;   328 ;   342 ;   417 ;   238 ;   139 ;   393 ;Ribeirão Corrente;   359 ;   340 ;   337 ;   521 ;   402 ;   274 ;   183 ;354310505;;;;;;;
Ribeirão do Sul;  4 446 ;   259 ;   279 ;   382 ;   221 ;   125 ;   328 ;Ribeirão do Sul;   317 ;   328 ;   327 ;   645 ;   538 ;   390 ;   307 ;3543204;;;;;;;
Ribeirão do Sul;  4 446 ;   259 ;   279 ;   382 ;   221 ;   125 ;   328 ;Ribeirão do Sul;   317 ;   328 ;   327 ;   645 ;   538 ;   390 ;   307 ;354320405;;;;;;;
Ribeirão dos Índios;  2 187 ;   110 ;   133 ;   185 ;   90 ;   54 ;   150 ;Ribeirão dos Índios;   158 ;   150 ;   156 ;   321 ;   275 ;   221 ;   184 ;3543238;;;;;;;
Ribeirão dos Índios;  2 187 ;   110 ;   133 ;   185 ;   90 ;   54 ;   150 ;Ribeirão dos Índios;   158 ;   150 ;   156 ;   321 ;   275 ;   221 ;   184 ;354323805;;;;;;;
Ribeirão Grande;  7 422 ;   517 ;   578 ;   706 ;   409 ;   245 ;   596 ;Ribeirão Grande;   625 ;   567 ;   575 ;  1 002 ;   657 ;   554 ;   391 ;3543253;;;;;;;
Ribeirão Grande;  7 422 ;   517 ;   578 ;   706 ;   409 ;   245 ;   596 ;Ribeirão Grande;   625 ;   567 ;   575 ;  1 002 ;   657 ;   554 ;   391 ;354325305;;;;;;;
Ribeirão Pires;  113 068 ;  6 875 ;  7 542 ;  9 040 ;  5 352 ;  3 599 ;  10 037 ;Ribeirão Pires;  10 254 ;  9 780 ;  8 961 ;  16 330 ;  12 924 ;  7 560 ;  4 814 ;3543303;;;;;;;
Jardim Santa Luzia;  21 898 ;  1 392 ;  1 510 ;  1 879 ;  1 056 ;   769 ;  1 955 ;Jardim Santa Luzia;  1 952 ;  1 892 ;  1 762 ;  3 164 ;  2 359 ;  1 406 ;   802 ;354330308;;;;;;;
Ouro Fino Paulista;  13 184 ;   888 ;   955 ;  1 184 ;   664 ;   407 ;  1 093 ;Ouro Fino Paulista;  1 175 ;  1 145 ;  1 049 ;  1 821 ;  1 438 ;   857 ;   508 ;354330310;;;;;;;
Ribeirão Pires;  77 986 ;  4 595 ;  5 077 ;  5 977 ;  3 632 ;  2 423 ;  6 989 ;Ribeirão Pires;  7 127 ;  6 743 ;  6 150 ;  11 345 ;  9 127 ;  5 297 ;  3 504 ;354330305;;;;;;;
Ribeirão Preto;  604 682 ;  35 806 ;  38 209 ;  43 299 ;  28 015 ;  19 380 ;  56 224 ;Ribeirão Preto;  59 176 ;  53 035 ;  45 079 ;  82 807 ;  67 380 ;  41 259 ;  35 013 ;3543402;;;;;;;
Bonfim Paulista;  11 821 ;   638 ;   777 ;   839 ;   561 ;   333 ;   907 ;Bonfim Paulista;   851 ;   922 ;   967 ;  1 999 ;  1 491 ;   900 ;   636 ;354340210;;;;;;;
Ribeirão Preto;  592 861 ;  35 168 ;  37 432 ;  42 460 ;  27 454 ;  19 047 ;  55 317 ;Ribeirão Preto;  58 325 ;  52 113 ;  44 112 ;  80 808 ;  65 889 ;  40 359 ;  34 377 ;354340205;;;;;;;
Rifaina;  3 436 ;   207 ;   245 ;   267 ;   164 ;   99 ;   251 ;Rifaina;   270 ;   271 ;   235 ;   502 ;   410 ;   289 ;   226 ;3543600;;;;;;;
Rifaina;  3 436 ;   207 ;   245 ;   267 ;   164 ;   99 ;   251 ;Rifaina;   270 ;   271 ;   235 ;   502 ;   410 ;   289 ;   226 ;354360005;;;;;;;
Rincão;  10 414 ;   760 ;   791 ;   919 ;   537 ;   373 ;   882 ;Rincão;   912 ;   800 ;   774 ;  1 375 ;  1 031 ;   702 ;   558 ;3543709;;;;;;;
Rincão;  10 414 ;   760 ;   791 ;   919 ;   537 ;   373 ;   882 ;Rincão;   912 ;   800 ;   774 ;  1 375 ;  1 031 ;   702 ;   558 ;354370905;;;;;;;
Rinópolis;  9 935 ;   576 ;   631 ;   671 ;   465 ;   316 ;   862 ;Rinópolis;   770 ;   681 ;   656 ;  1 328 ;  1 238 ;   855 ;   886 ;3543808;;;;;;;
Rinópolis;  9 935 ;   576 ;   631 ;   671 ;   465 ;   316 ;   862 ;Rinópolis;   770 ;   681 ;   656 ;  1 328 ;  1 238 ;   855 ;   886 ;354380805;;;;;;;
Rio Claro;  186 253 ;  11 067 ;  11 593 ;  13 900 ;  8 549 ;  5 941 ;  16 070 ;Rio Claro;  17 003 ;  16 076 ;  14 096 ;  26 267 ;  20 746 ;  13 034 ;  11 911 ;3543907;;;;;;;
Ajapi;  3 059 ;   203 ;   229 ;   248 ;   159 ;   106 ;   279 ;Ajapi;   252 ;   265 ;   228 ;   405 ;   321 ;   195 ;   169 ;354390710;;;;;;;
Assistência;  1 339 ;   101 ;   102 ;   114 ;   54 ;   47 ;   99 ;Assistência;   126 ;   130 ;   117 ;   182 ;   127 ;   76 ;   64 ;354390715;;;;;;;
Rio Claro;  181 855 ;  10 763 ;  11 262 ;  13 538 ;  8 336 ;  5 788 ;  15 692 ;Rio Claro;  16 625 ;  15 681 ;  13 751 ;  25 680 ;  20 298 ;  12 763 ;  11 678 ;354390705;;;;;;;
Rio das Pedras;  29 501 ;  2 136 ;  2 228 ;  2 464 ;  1 428 ;  1 000 ;  2 893 ;Rio das Pedras;  2 971 ;  2 563 ;  2 371 ;  3 955 ;  2 694 ;  1 614 ;  1 184 ;3544004;;;;;;;
Rio das Pedras;  29 501 ;  2 136 ;  2 228 ;  2 464 ;  1 428 ;  1 000 ;  2 893 ;Rio das Pedras;  2 971 ;  2 563 ;  2 371 ;  3 955 ;  2 694 ;  1 614 ;  1 184 ;354400405;;;;;;;
Rio Grande da Serra;  43 974 ;  3 311 ;  3 601 ;  4 142 ;  2 351 ;  1 534 ;  4 024 ;Rio Grande da Serra;  4 229 ;  3 899 ;  3 547 ;  5 877 ;  4 017 ;  2 117 ;  1 325 ;3544103;;;;;;;
Rio Grande da Serra;  43 974 ;  3 311 ;  3 601 ;  4 142 ;  2 351 ;  1 534 ;  4 024 ;Rio Grande da Serra;  4 229 ;  3 899 ;  3 547 ;  5 877 ;  4 017 ;  2 117 ;  1 325 ;354410305;;;;;;;
Riolândia;  10 575 ;   720 ;   720 ;   759 ;   451 ;   338 ;  1 114 ;Riolândia;  1 171 ;  1 152 ;   824 ;  1 298 ;   884 ;   658 ;   486 ;3544202;;;;;;;
Riolândia;  10 575 ;   720 ;   720 ;   759 ;   451 ;   338 ;  1 114 ;Riolândia;  1 171 ;  1 152 ;   824 ;  1 298 ;   884 ;   658 ;   486 ;354420205;;;;;;;
Riversul;  6 163 ;   443 ;   452 ;   570 ;   361 ;   197 ;   387 ;Riversul;   439 ;   422 ;   397 ;   790 ;   714 ;   518 ;   473 ;3543501;;;;;;;
Riversul;  6 163 ;   443 ;   452 ;   570 ;   361 ;   197 ;   387 ;Riversul;   439 ;   422 ;   397 ;   790 ;   714 ;   518 ;   473 ;354350105;;;;;;;
Rosana;  19 691 ;  1 256 ;  1 496 ;  1 991 ;  1 187 ;   730 ;  1 616 ;Rosana;  1 434 ;  1 409 ;  1 465 ;  2 788 ;  2 147 ;  1 340 ;   832 ;3544251;;;;;;;
Rosana;  19 691 ;  1 256 ;  1 496 ;  1 991 ;  1 187 ;   730 ;  1 616 ;Rosana;  1 434 ;  1 409 ;  1 465 ;  2 788 ;  2 147 ;  1 340 ;   832 ;354425105;;;;;;;
Roseira;  9 599 ;   678 ;   719 ;   802 ;   507 ;   335 ;   788 ;Roseira;   919 ;   858 ;   747 ;  1 285 ;  1 030 ;   529 ;   402 ;3544301;;;;;;;
Roseira;  9 599 ;   678 ;   719 ;   802 ;   507 ;   335 ;   788 ;Roseira;   919 ;   858 ;   747 ;  1 285 ;  1 030 ;   529 ;   402 ;354430105;;;;;;;
Rubiácea;  2 729 ;   191 ;   203 ;   216 ;   147 ;   87 ;   249 ;Rubiácea;   226 ;   234 ;   207 ;   389 ;   245 ;   178 ;   157 ;3544400;;;;;;;
Rubiácea;  2 729 ;   191 ;   203 ;   216 ;   147 ;   87 ;   249 ;Rubiácea;   226 ;   234 ;   207 ;   389 ;   245 ;   178 ;   157 ;354440005;;;;;;;
Rubinéia;  2 862 ;   142 ;   168 ;   216 ;   129 ;   69 ;   210 ;Rubinéia;   167 ;   187 ;   180 ;   427 ;   417 ;   300 ;   250 ;3544509;;;;;;;
Esmeralda;   436 ;   34 ;   25 ;   28 ;   19 ;   13 ;   33 ;Esmeralda;   33 ;   41 ;   31 ;   72 ;   42 ;   34 ;   31 ;354450910;;;;;;;
Rubinéia;  2 426 ;   108 ;   143 ;   188 ;   110 ;   56 ;   177 ;Rubinéia;   134 ;   146 ;   149 ;   355 ;   375 ;   266 ;   219 ;354450905;;;;;;;
Sabino;  5 217 ;   323 ;   327 ;   392 ;   264 ;   186 ;   389 ;Sabino;   405 ;   364 ;   333 ;   716 ;   640 ;   464 ;   414 ;3544608;;;;;;;
Sabino;  5 217 ;   323 ;   327 ;   392 ;   264 ;   186 ;   389 ;Sabino;   405 ;   364 ;   333 ;   716 ;   640 ;   464 ;   414 ;354460805;;;;;;;
Sagres;  2 395 ;   133 ;   173 ;   211 ;   126 ;   77 ;   172 ;Sagres;   176 ;   193 ;   167 ;   291 ;   293 ;   207 ;   176 ;3544707;;;;;;;
Sagres;  2 395 ;   133 ;   173 ;   211 ;   126 ;   77 ;   172 ;Sagres;   176 ;   193 ;   167 ;   291 ;   293 ;   207 ;   176 ;354470705;;;;;;;
Sales;  5 451 ;   343 ;   388 ;   390 ;   248 ;   166 ;   405 ;Sales;   453 ;   391 ;   396 ;   744 ;   670 ;   488 ;   369 ;3544806;;;;;;;
Sales;  5 451 ;   343 ;   388 ;   390 ;   248 ;   166 ;   405 ;Sales;   453 ;   391 ;   396 ;   744 ;   670 ;   488 ;   369 ;354480605;;;;;;;
Sales Oliveira;  10 568 ;   637 ;   685 ;   823 ;   536 ;   342 ;   929 ;Sales Oliveira;   884 ;   842 ;   746 ;  1 505 ;  1 195 ;   776 ;   668 ;3544905;;;;;;;
Sales Oliveira;  10 568 ;   637 ;   685 ;   823 ;   536 ;   342 ;   929 ;Sales Oliveira;   884 ;   842 ;   746 ;  1 505 ;  1 195 ;   776 ;   668 ;354490505;;;;;;;
Salesópolis;  15 635 ;  1 112 ;  1 259 ;  1 460 ;   820 ;   537 ;  1 284 ;Salesópolis;  1 178 ;  1 195 ;  1 152 ;  2 132 ;  1 553 ;  1 080 ;   873 ;3545001;;;;;;;
Nossa Senhora do Remédio;  3 156 ;   238 ;   262 ;   300 ;   141 ;   77 ;   239 ;Nossa Senhora do Remédio;   213 ;   257 ;   240 ;   437 ;   340 ;   233 ;   179 ;354500110;;;;;;;
Salesópolis;  12 479 ;   874 ;   997 ;  1 160 ;   679 ;   460 ;  1 045 ;Salesópolis;   965 ;   938 ;   912 ;  1 695 ;  1 213 ;   847 ;   694 ;354500105;;;;;;;
Salmourão;  4 818 ;   308 ;   345 ;   397 ;   270 ;   170 ;   368 ;Salmourão;   369 ;   361 ;   362 ;   627 ;   529 ;   389 ;   323 ;3545100;;;;;;;
Salmourão;  4 818 ;   308 ;   345 ;   397 ;   270 ;   170 ;   368 ;Salmourão;   369 ;   361 ;   362 ;   627 ;   529 ;   389 ;   323 ;354510005;;;;;;;
Saltinho;  7 059 ;   376 ;   430 ;   495 ;   333 ;   212 ;   591 ;Saltinho;   648 ;   626 ;   538 ;   946 ;   879 ;   592 ;   393 ;3545159;;;;;;;
Saltinho;  7 059 ;   376 ;   430 ;   495 ;   333 ;   212 ;   591 ;Saltinho;   648 ;   626 ;   538 ;   946 ;   879 ;   592 ;   393 ;354515905;;;;;;;
Salto;  105 516 ;  6 762 ;  7 139 ;  8 576 ;  5 442 ;  3 649 ;  9 571 ;Salto;  9 593 ;  8 821 ;  7 912 ;  15 625 ;  11 193 ;  6 221 ;  5 012 ;3545209;;;;;;;
Salto;  105 516 ;  6 762 ;  7 139 ;  8 576 ;  5 442 ;  3 649 ;  9 571 ;Salto;  9 593 ;  8 821 ;  7 912 ;  15 625 ;  11 193 ;  6 221 ;  5 012 ;354520905;;;;;;;
Salto de Pirapora;  40 132 ;  2 737 ;  2 950 ;  3 673 ;  2 170 ;  1 379 ;  3 435 ;Salto de Pirapora;  3 409 ;  3 141 ;  2 910 ;  5 429 ;  4 258 ;  2 698 ;  1 943 ;3545308;;;;;;;
Salto de Pirapora;  40 132 ;  2 737 ;  2 950 ;  3 673 ;  2 170 ;  1 379 ;  3 435 ;Salto de Pirapora;  3 409 ;  3 141 ;  2 910 ;  5 429 ;  4 258 ;  2 698 ;  1 943 ;354530805;;;;;;;
Salto Grande;  8 787 ;   584 ;   669 ;   753 ;   442 ;   261 ;   630 ;Salto Grande;   683 ;   686 ;   642 ;  1 144 ;   973 ;   711 ;   609 ;3545407;;;;;;;
Salto Grande;  8 787 ;   584 ;   669 ;   753 ;   442 ;   261 ;   630 ;Salto Grande;   683 ;   686 ;   642 ;  1 144 ;   973 ;   711 ;   609 ;354540705;;;;;;;
Sandovalina;  3 699 ;   291 ;   289 ;   359 ;   202 ;   139 ;   289 ;Sandovalina;   298 ;   284 ;   277 ;   531 ;   355 ;   205 ;   180 ;3545506;;;;;;;
Sandovalina;  3 699 ;   291 ;   289 ;   359 ;   202 ;   139 ;   289 ;Sandovalina;   298 ;   284 ;   277 ;   531 ;   355 ;   205 ;   180 ;354550605;;;;;;;
Santa Adélia;  14 333 ;   878 ;   976 ;  1 117 ;   667 ;   482 ;  1 186 ;Santa Adélia;  1 266 ;  1 219 ;  1 060 ;  1 920 ;  1 566 ;  1 048 ;   948 ;3545605;;;;;;;
Botelho;  1 235 ;   80 ;   89 ;   104 ;   63 ;   41 ;   103 ;Botelho;   94 ;   91 ;   81 ;   184 ;   126 ;   100 ;   79 ;354560510;;;;;;;
Santa Adélia;  12 491 ;   776 ;   848 ;   965 ;   575 ;   426 ;  1 033 ;Santa Adélia;  1 138 ;  1 086 ;   937 ;  1 641 ;  1 373 ;   876 ;   817 ;354560505;;;;;;;
Santa Rosa;   257 ;   14 ;   13 ;   16 ;   13 ;   3 ;   22 ;Santa Rosa;   12 ;   19 ;   19 ;   41 ;   30 ;   32 ;   23 ;354560520;;;;;;;
Ururaí;   350 ;   8 ;   26 ;   32 ;   16 ;   12 ;   28 ;Ururaí;   22 ;   23 ;   23 ;   54 ;   37 ;   40 ;   29 ;354560515;;;;;;;
Santa Albertina;  5 723 ;   292 ;   315 ;   369 ;   261 ;   187 ;   439 ;Santa Albertina;   451 ;   410 ;   393 ;   778 ;   760 ;   541 ;   527 ;3545704;;;;;;;
Santa Albertina;  5 723 ;   292 ;   315 ;   369 ;   261 ;   187 ;   439 ;Santa Albertina;   451 ;   410 ;   393 ;   778 ;   760 ;   541 ;   527 ;354570405;;;;;;;
Santa Bárbara d'Oeste;  180 009 ;  10 600 ;  11 274 ;  13 224 ;  8 834 ;  6 075 ;  16 729 ;Santa Bárbara d'Oeste;  16 834 ;  14 920 ;  13 728 ;  27 152 ;  21 244 ;  10 932 ;  8 463 ;3545803;;;;;;;
Santa Bárbara d'Oeste;  180 009 ;  10 600 ;  11 274 ;  13 224 ;  8 834 ;  6 075 ;  16 729 ;Santa Bárbara d'Oeste;  16 834 ;  14 920 ;  13 728 ;  27 152 ;  21 244 ;  10 932 ;  8 463 ;354580305;;;;;;;
Santa Branca;  13 763 ;   915 ;   975 ;  1 167 ;   698 ;   447 ;  1 126 ;Santa Branca;  1 047 ;  1 062 ;  1 082 ;  1 922 ;  1 503 ;  1 028 ;   791 ;3546009;;;;;;;
Santa Branca;  13 763 ;   915 ;   975 ;  1 167 ;   698 ;   447 ;  1 126 ;Santa Branca;  1 047 ;  1 062 ;  1 082 ;  1 922 ;  1 503 ;  1 028 ;   791 ;354600905;;;;;;;
Santa Clara d'Oeste;  2 084 ;   102 ;   128 ;   159 ;   103 ;   63 ;   165 ;Santa Clara d'Oeste;   152 ;   163 ;   144 ;   268 ;   272 ;   182 ;   183 ;3546108;;;;;;;
Santa Clara d'Oeste;  2 084 ;   102 ;   128 ;   159 ;   103 ;   63 ;   165 ;Santa Clara d'Oeste;   152 ;   163 ;   144 ;   268 ;   272 ;   182 ;   183 ;354610805;;;;;;;
Santa Cruz da Conceição;  4 002 ;   244 ;   248 ;   320 ;   182 ;   129 ;   297 ;Santa Cruz da Conceição;   351 ;   286 ;   296 ;   530 ;   479 ;   340 ;   300 ;3546207;;;;;;;
Santa Cruz da Conceição;  4 002 ;   244 ;   248 ;   320 ;   182 ;   129 ;   297 ;Santa Cruz da Conceição;   351 ;   286 ;   296 ;   530 ;   479 ;   340 ;   300 ;354620705;;;;;;;
Santa Cruz da Esperança;  1 953 ;   138 ;   143 ;   188 ;   122 ;   52 ;   163 ;Santa Cruz da Esperança;   151 ;   144 ;   121 ;   231 ;   199 ;   184 ;   117 ;3546256;;;;;;;
Santa Cruz da Esperança;  1 953 ;   138 ;   143 ;   188 ;   122 ;   52 ;   163 ;Santa Cruz da Esperança;   151 ;   144 ;   121 ;   231 ;   199 ;   184 ;   117 ;354625605;;;;;;;
Santa Cruz das Palmeiras;  29 932 ;  2 093 ;  2 206 ;  2 439 ;  1 489 ;  1 076 ;  2 926 ;Santa Cruz das Palmeiras;  2 916 ;  2 536 ;  2 142 ;  3 909 ;  2 937 ;  1 821 ;  1 442 ;3546306;;;;;;;
Santa Cruz das Palmeiras;  29 932 ;  2 093 ;  2 206 ;  2 439 ;  1 489 ;  1 076 ;  2 926 ;Santa Cruz das Palmeiras;  2 916 ;  2 536 ;  2 142 ;  3 909 ;  2 937 ;  1 821 ;  1 442 ;354630605;;;;;;;
Santa Cruz do Rio Pardo;  43 921 ;  2 905 ;  3 033 ;  3 521 ;  2 140 ;  1 439 ;  3 479 ;Santa Cruz do Rio Pardo;  3 663 ;  3 203 ;  3 142 ;  6 057 ;  4 970 ;  3 401 ;  2 968 ;3546405;;;;;;;
Caporanga;   919 ;   50 ;   57 ;   59 ;   41 ;   20 ;   70 ;Caporanga;   80 ;   61 ;   68 ;   115 ;   131 ;   105 ;   62 ;354640510;;;;;;;
Clarínia;   206 ;   16 ;   14 ;   22 ;   11 ;   8 ;   16 ;Clarínia;   16 ;   16 ;   13 ;   33 ;   14 ;   17 ;   10 ;354640515;;;;;;;
Santa Cruz do Rio Pardo;  42 338 ;  2 818 ;  2 934 ;  3 412 ;  2 072 ;  1 397 ;  3 363 ;Santa Cruz do Rio Pardo;  3 532 ;  3 097 ;  3 047 ;  5 856 ;  4 742 ;  3 218 ;  2 850 ;354640505;;;;;;;
Sodrélia;   458 ;   21 ;   28 ;   28 ;   16 ;   14 ;   30 ;Sodrélia;   35 ;   29 ;   14 ;   53 ;   83 ;   61 ;   46 ;354640525;;;;;;;
Santa Ernestina;  5 568 ;   389 ;   399 ;   467 ;   327 ;   187 ;   590 ;Santa Ernestina;   544 ;   496 ;   368 ;   777 ;   479 ;   299 ;   246 ;3546504;;;;;;;
Santa Ernestina;  5 568 ;   389 ;   399 ;   467 ;   327 ;   187 ;   590 ;Santa Ernestina;   544 ;   496 ;   368 ;   777 ;   479 ;   299 ;   246 ;354650405;;;;;;;
Santa Fé do Sul;  29 239 ;  1 510 ;  1 630 ;  2 065 ;  1 355 ;   894 ;  2 434 ;Santa Fé do Sul;  2 315 ;  2 247 ;  2 109 ;  4 298 ;  3 547 ;  2 648 ;  2 187 ;3546603;;;;;;;
Santa Fé do Sul;  29 239 ;  1 510 ;  1 630 ;  2 065 ;  1 355 ;   894 ;  2 434 ;Santa Fé do Sul;  2 315 ;  2 247 ;  2 109 ;  4 298 ;  3 547 ;  2 648 ;  2 187 ;354660305;;;;;;;
Santa Gertrudes;  21 634 ;  1 640 ;  1 642 ;  1 880 ;  1 090 ;   718 ;  2 158 ;Santa Gertrudes;  2 266 ;  2 090 ;  1 821 ;  2 804 ;  1 722 ;  1 020 ;   783 ;3546702;;;;;;;
Santa Gertrudes;  21 634 ;  1 640 ;  1 642 ;  1 880 ;  1 090 ;   718 ;  2 158 ;Santa Gertrudes;  2 266 ;  2 090 ;  1 821 ;  2 804 ;  1 722 ;  1 020 ;   783 ;354670205;;;;;;;
Santa Isabel;  50 453 ;  3 462 ;  3 844 ;  4 503 ;  2 683 ;  1 653 ;  4 391 ;Santa Isabel;  4 385 ;  4 035 ;  3 859 ;  6 888 ;  5 292 ;  3 166 ;  2 292 ;3546801;;;;;;;
Santa Isabel;  50 453 ;  3 462 ;  3 844 ;  4 503 ;  2 683 ;  1 653 ;  4 391 ;Santa Isabel;  4 385 ;  4 035 ;  3 859 ;  6 888 ;  5 292 ;  3 166 ;  2 292 ;354680105;;;;;;;
Santa Lúcia;  8 248 ;   624 ;   563 ;   781 ;   433 ;   285 ;   825 ;Santa Lúcia;   747 ;   698 ;   624 ;  1 094 ;   773 ;   450 ;   351 ;3546900;;;;;;;
