Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Avencas;   947 ;   499 ;   448 ;   684 ;   352 ;   332 ;   263 ;   147 ;   116 ;352900515;;;;;;;;
Dirceu;  2 313 ;  1 203 ;  1 110 ;   128 ;   64 ;   64 ;  2 185 ;  1 139 ;  1 046 ;352900520;;;;;;;;
Lácio;  5 760 ;  2 918 ;  2 842 ;  1 110 ;   561 ;   549 ;  4 650 ;  2 357 ;  2 293 ;352900525;;;;;;;;
Marília;  197 599 ;  94 122 ;  103 477 ;  197 011 ;  93 755 ;  103 256 ;   588 ;   367 ;   221 ;352900505;;;;;;;;
Padre Nóbrega;  7 899 ;  4 855 ;  3 044 ;  6 670 ;  4 242 ;  2 428 ;  1 229 ;   613 ;   616 ;352900530;;;;;;;;
Rosália;  1 652 ;   829 ;   823 ;  1 265 ;   628 ;   637 ;   387 ;   201 ;   186 ;352900535;;;;;;;;
Marinópolis;  2 113 ;  1 063 ;  1 050 ;  1 671 ;   826 ;   845 ;   442 ;   237 ;   205 ;3529104;;;;;;;;
Marinópolis;  2 113 ;  1 063 ;  1 050 ;  1 671 ;   826 ;   845 ;   442 ;   237 ;   205 ;352910405;;;;;;;;
Martinópolis;  24 219 ;  12 601 ;  11 618 ;  20 341 ;  9 902 ;  10 439 ;  3 878 ;  2 699 ;  1 179 ;3529203;;;;;;;;
Guachos;  1 119 ;   572 ;   547 ;   929 ;   467 ;   462 ;   190 ;   105 ;   85 ;352920310;;;;;;;;
Martinópolis;  21 852 ;  11 373 ;  10 479 ;  18 657 ;  9 043 ;  9 614 ;  3 195 ;  2 330 ;   865 ;352920305;;;;;;;;
Teçaindá;  1 248 ;   656 ;   592 ;   755 ;   392 ;   363 ;   493 ;   264 ;   229 ;352920315;;;;;;;;
Matão;  76 786 ;  38 033 ;  38 753 ;  75 377 ;  37 293 ;  38 084 ;  1 409 ;   740 ;   669 ;3529302;;;;;;;;
Matão;  74 822 ;  37 029 ;  37 793 ;  74 014 ;  36 606 ;  37 408 ;   808 ;   423 ;   385 ;352930205;;;;;;;;
São Lourenço do Turvo;  1 964 ;  1 004 ;   960 ;  1 363 ;   687 ;   676 ;   601 ;   317 ;   284 ;352930210;;;;;;;;
Mauá;  417 064 ;  204 093 ;  212 971 ;  417 064 ;  204 093 ;  212 971 ;- ;- ;- ;3529401;;;;;;;;
Mauá;  417 064 ;  204 093 ;  212 971 ;  417 064 ;  204 093 ;  212 971 ;- ;- ;- ;352940105;;;;;;;;
Mendonça;  4 640 ;  2 357 ;  2 283 ;  3 793 ;  1 923 ;  1 870 ;   847 ;   434 ;   413 ;3529500;;;;;;;;
Mendonça;  4 640 ;  2 357 ;  2 283 ;  3 793 ;  1 923 ;  1 870 ;   847 ;   434 ;   413 ;352950005;;;;;;;;
Meridiano;  3 855 ;  1 892 ;  1 963 ;  2 674 ;  1 276 ;  1 398 ;  1 181 ;   616 ;   565 ;3529609;;;;;;;;
Meridiano;  3 855 ;  1 892 ;  1 963 ;  2 674 ;  1 276 ;  1 398 ;  1 181 ;   616 ;   565 ;352960905;;;;;;;;
Mesópolis;  1 886 ;   957 ;   929 ;  1 468 ;   744 ;   724 ;   418 ;   213 ;   205 ;3529658;;;;;;;;
Mesópolis;  1 886 ;   957 ;   929 ;  1 468 ;   744 ;   724 ;   418 ;   213 ;   205 ;352965805;;;;;;;;
Miguelópolis;  20 451 ;  10 204 ;  10 247 ;  19 265 ;  9 565 ;  9 700 ;  1 186 ;   639 ;   547 ;3529708;;;;;;;;
Miguelópolis;  20 451 ;  10 204 ;  10 247 ;  19 265 ;  9 565 ;  9 700 ;  1 186 ;   639 ;   547 ;352970805;;;;;;;;
Mineiros do Tietê;  12 038 ;  5 992 ;  6 046 ;  11 500 ;  5 709 ;  5 791 ;   538 ;   283 ;   255 ;3529807;;;;;;;;
Mineiros do Tietê;  12 038 ;  5 992 ;  6 046 ;  11 500 ;  5 709 ;  5 791 ;   538 ;   283 ;   255 ;352980705;;;;;;;;
Mira Estrela;  2 820 ;  1 401 ;  1 419 ;  1 881 ;   923 ;   958 ;   939 ;   478 ;   461 ;3530003;;;;;;;;
Mira Estrela;  2 820 ;  1 401 ;  1 419 ;  1 881 ;   923 ;   958 ;   939 ;   478 ;   461 ;353000305;;;;;;;;
Miracatu;  20 592 ;  10 412 ;  10 180 ;  10 586 ;  5 109 ;  5 477 ;  10 006 ;  5 303 ;  4 703 ;3529906;;;;;;;;
Miracatu;  13 242 ;  6 598 ;  6 644 ;  8 236 ;  3 917 ;  4 319 ;  5 006 ;  2 681 ;  2 325 ;352990605;;;;;;;;
Oliveira Barros;  2 616 ;  1 359 ;  1 257 ;  1 025 ;   520 ;   505 ;  1 591 ;   839 ;   752 ;352990608;;;;;;;;
Pedro Barros;  2 164 ;  1 122 ;  1 042 ;   526 ;   263 ;   263 ;  1 638 ;   859 ;   779 ;352990610;;;;;;;;
Santa Rita do Ribeira;  2 570 ;  1 333 ;  1 237 ;   799 ;   409 ;   390 ;  1 771 ;   924 ;   847 ;352990615;;;;;;;;
Mirandópolis;  27 483 ;  15 055 ;  12 428 ;  24 455 ;  13 467 ;  10 988 ;  3 028 ;  1 588 ;  1 440 ;3530102;;;;;;;;
Amandaba;  1 046 ;   531 ;   515 ;   630 ;   308 ;   322 ;   416 ;   223 ;   193 ;353010210;;;;;;;;
Mirandópolis;  24 228 ;  13 382 ;  10 846 ;  23 053 ;  12 764 ;  10 289 ;  1 175 ;   618 ;   557 ;353010205;;;;;;;;
Três Alianças;  2 209 ;  1 142 ;  1 067 ;   772 ;   395 ;   377 ;  1 437 ;   747 ;   690 ;353010215;;;;;;;;
Mirante do Paranapanema;  17 059 ;  8 663 ;  8 396 ;  10 045 ;  4 911 ;  5 134 ;  7 014 ;  3 752 ;  3 262 ;3530201;;;;;;;;
Costa Machado;  2 240 ;  1 176 ;  1 064 ;  1 649 ;   866 ;   783 ;   591 ;   310 ;   281 ;353020110;;;;;;;;
Cuiabá Paulista;  3 325 ;  1 726 ;  1 599 ;   828 ;   402 ;   426 ;  2 497 ;  1 324 ;  1 173 ;353020115;;;;;;;;
Mirante do Paranapanema;  11 494 ;  5 761 ;  5 733 ;  7 568 ;  3 643 ;  3 925 ;  3 926 ;  2 118 ;  1 808 ;353020105;;;;;;;;
Mirassol;  53 792 ;  26 402 ;  27 390 ;  52 433 ;  25 651 ;  26 782 ;  1 359 ;   751 ;   608 ;3530300;;;;;;;;
Mirassol;  53 084 ;  26 026 ;  27 058 ;  51 907 ;  25 382 ;  26 525 ;  1 177 ;   644 ;   533 ;353030005;;;;;;;;
Ruilândia;   708 ;   376 ;   332 ;   526 ;   269 ;   257 ;   182 ;   107 ;   75 ;353030010;;;;;;;;
Mirassolândia;  4 295 ;  2 193 ;  2 102 ;  3 492 ;  1 762 ;  1 730 ;   803 ;   431 ;   372 ;3530409;;;;;;;;
Mirassolândia;  4 295 ;  2 193 ;  2 102 ;  3 492 ;  1 762 ;  1 730 ;   803 ;   431 ;   372 ;353040905;;;;;;;;
Mococa;  66 290 ;  33 059 ;  33 231 ;  61 149 ;  30 308 ;  30 841 ;  5 141 ;  2 751 ;  2 390 ;3530508;;;;;;;;
Igaraí;  2 549 ;  1 311 ;  1 238 ;  2 119 ;  1 073 ;  1 046 ;   430 ;   238 ;   192 ;353050810;;;;;;;;
Mococa;  62 274 ;  30 992 ;  31 282 ;  58 197 ;  28 801 ;  29 396 ;  4 077 ;  2 191 ;  1 886 ;353050805;;;;;;;;
São Benedito das Areias;  1 467 ;   756 ;   711 ;   833 ;   434 ;   399 ;   634 ;   322 ;   312 ;353050815;;;;;;;;
Mogi das Cruzes;  387 779 ;  188 857 ;  198 922 ;  357 313 ;  173 193 ;  184 120 ;  30 466 ;  15 664 ;  14 802 ;3530607;;;;;;;;
Biritiba-Ussu;  4 730 ;  2 389 ;  2 341 ;  2 479 ;  1 226 ;  1 253 ;  2 251 ;  1 163 ;  1 088 ;353060707;;;;;;;;
Brás Cubas;  104 937 ;  51 409 ;  53 528 ;  104 384 ;  51 118 ;  53 266 ;   553 ;   291 ;   262 ;353060710;;;;;;;;
Cezar de Souza;  33 295 ;  16 070 ;  17 225 ;  32 673 ;  15 744 ;  16 929 ;   622 ;   326 ;   296 ;353060713;;;;;;;;
Jundiapeba;  49 186 ;  24 342 ;  24 844 ;  47 367 ;  23 422 ;  23 945 ;  1 819 ;   920 ;   899 ;353060715;;;;;;;;
Mogi das Cruzes;  172 269 ;  82 804 ;  89 465 ;  163 935 ;  78 456 ;  85 479 ;  8 334 ;  4 348 ;  3 986 ;353060705;;;;;;;;
Quatinga;  3 672 ;  1 911 ;  1 761 ;  1 569 ;   794 ;   775 ;  2 103 ;  1 117 ;   986 ;353060717;;;;;;;;
Sabaúna;  14 511 ;  7 235 ;  7 276 ;  2 395 ;  1 176 ;  1 219 ;  12 116 ;  6 059 ;  6 057 ;353060720;;;;;;;;
Taiaçupeba;  5 179 ;  2 697 ;  2 482 ;  2 511 ;  1 257 ;  1 254 ;  2 668 ;  1 440 ;  1 228 ;353060725;;;;;;;;
Mogi Guaçu;  137 245 ;  68 094 ;  69 151 ;  130 295 ;  64 407 ;  65 888 ;  6 950 ;  3 687 ;  3 263 ;3530706;;;;;;;;
Martinho Prado Júnior;  3 818 ;  1 976 ;  1 842 ;  3 056 ;  1 566 ;  1 490 ;   762 ;   410 ;   352 ;353070615;;;;;;;;
Mogi Guaçu;  133 427 ;  66 118 ;  67 309 ;  127 239 ;  62 841 ;  64 398 ;  6 188 ;  3 277 ;  2 911 ;353070605;;;;;;;;
Moji Mirim;  86 505 ;  42 597 ;  43 908 ;  80 945 ;  39 560 ;  41 385 ;  5 560 ;  3 037 ;  2 523 ;3530805;;;;;;;;
Martim Francisco;  3 000 ;  1 556 ;  1 444 ;  2 201 ;  1 142 ;  1 059 ;   799 ;   414 ;   385 ;353080510;;;;;;;;
Moji Mirim;  83 505 ;  41 041 ;  42 464 ;  78 744 ;  38 418 ;  40 326 ;  4 761 ;  2 623 ;  2 138 ;353080505;;;;;;;;
Mombuca;  3 266 ;  1 663 ;  1 603 ;  2 685 ;  1 364 ;  1 321 ;   581 ;   299 ;   282 ;3530904;;;;;;;;
Mombuca;  3 266 ;  1 663 ;  1 603 ;  2 685 ;  1 364 ;  1 321 ;   581 ;   299 ;   282 ;353090405;;;;;;;;
Monções;  2 132 ;  1 101 ;  1 031 ;  1 836 ;   946 ;   890 ;   296 ;   155 ;   141 ;3531001;;;;;;;;
Monções;  2 132 ;  1 101 ;  1 031 ;  1 836 ;   946 ;   890 ;   296 ;   155 ;   141 ;353100105;;;;;;;;
Mongaguá;  46 293 ;  23 098 ;  23 195 ;  46 091 ;  22 997 ;  23 094 ;   202 ;   101 ;   101 ;3531100;;;;;;;;
Mongaguá;  46 293 ;  23 098 ;  23 195 ;  46 091 ;  22 997 ;  23 094 ;   202 ;   101 ;   101 ;353110005;;;;;;;;
Monte Alegre do Sul;  7 152 ;  3 581 ;  3 571 ;  4 091 ;  2 012 ;  2 079 ;  3 061 ;  1 569 ;  1 492 ;3531209;;;;;;;;
Monte Alegre do Sul;  4 934 ;  2 467 ;  2 467 ;  2 852 ;  1 392 ;  1 460 ;  2 082 ;  1 075 ;  1 007 ;353120905;;;;;;;;
Mostardas;  2 218 ;  1 114 ;  1 104 ;  1 239 ;   620 ;   619 ;   979 ;   494 ;   485 ;353120910;;;;;;;;
Monte Alto;  46 642 ;  22 978 ;  23 664 ;  44 543 ;  21 907 ;  22 636 ;  2 099 ;  1 071 ;  1 028 ;3531308;;;;;;;;
Aparecida do Monte Alto;   995 ;   488 ;   507 ;   767 ;   370 ;   397 ;   228 ;   118 ;   110 ;353130808;;;;;;;;
Monte Alto;  45 647 ;  22 490 ;  23 157 ;  43 776 ;  21 537 ;  22 239 ;  1 871 ;   953 ;   918 ;353130805;;;;;;;;
Monte Aprazível;  21 746 ;  10 814 ;  10 932 ;  19 803 ;  9 780 ;  10 023 ;  1 943 ;  1 034 ;   909 ;3531407;;;;;;;;
Engenheiro Balduíno;   716 ;   369 ;   347 ;   383 ;   189 ;   194 ;   333 ;   180 ;   153 ;353140710;;;;;;;;
Itaiúba;   508 ;   263 ;   245 ;   244 ;   132 ;   112 ;   264 ;   131 ;   133 ;353140715;;;;;;;;
Junqueira;   610 ;   321 ;   289 ;   253 ;   130 ;   123 ;   357 ;   191 ;   166 ;353140720;;;;;;;;
Monte Aprazível;  19 912 ;  9 861 ;  10 051 ;  18 923 ;  9 329 ;  9 594 ;   989 ;   532 ;   457 ;353140705;;;;;;;;
Monte Azul Paulista;  18 931 ;  9 491 ;  9 440 ;  17 713 ;  8 849 ;  8 864 ;  1 218 ;   642 ;   576 ;3531506;;;;;;;;
Marcondésia;   881 ;   438 ;   443 ;   554 ;   262 ;   292 ;   327 ;   176 ;   151 ;353150610;;;;;;;;
Monte Azul Paulista;  18 050 ;  9 053 ;  8 997 ;  17 159 ;  8 587 ;  8 572 ;   891 ;   466 ;   425 ;353150605;;;;;;;;
Monte Castelo;  4 063 ;  2 011 ;  2 052 ;  3 211 ;  1 562 ;  1 649 ;   852 ;   449 ;   403 ;3531605;;;;;;;;
Monte Castelo;  4 063 ;  2 011 ;  2 052 ;  3 211 ;  1 562 ;  1 649 ;   852 ;   449 ;   403 ;353160505;;;;;;;;
Monte Mor;  48 949 ;  24 472 ;  24 477 ;  45 978 ;  22 940 ;  23 038 ;  2 971 ;  1 532 ;  1 439 ;3531803;;;;;;;;
Monte Mor;  48 949 ;  24 472 ;  24 477 ;  45 978 ;  22 940 ;  23 038 ;  2 971 ;  1 532 ;  1 439 ;353180305;;;;;;;;
Monteiro Lobato;  4 120 ;  2 150 ;  1 970 ;  1 778 ;   905 ;   873 ;  2 342 ;  1 245 ;  1 097 ;3531704;;;;;;;;
Monteiro Lobato;  4 120 ;  2 150 ;  1 970 ;  1 778 ;   905 ;   873 ;  2 342 ;  1 245 ;  1 097 ;353170405;;;;;;;;
Morro Agudo;  29 116 ;  14 879 ;  14 237 ;  27 907 ;  14 240 ;  13 667 ;  1 209 ;   639 ;   570 ;3531902;;;;;;;;
Morro Agudo;  29 116 ;  14 879 ;  14 237 ;  27 907 ;  14 240 ;  13 667 ;  1 209 ;   639 ;   570 ;353190205;;;;;;;;
Morungaba;  11 769 ;  5 895 ;  5 874 ;  10 051 ;  4 987 ;  5 064 ;  1 718 ;   908 ;   810 ;3532009;;;;;;;;
Morungaba;  11 769 ;  5 895 ;  5 874 ;  10 051 ;  4 987 ;  5 064 ;  1 718 ;   908 ;   810 ;353200905;;;;;;;;
Motuca;  4 290 ;  2 162 ;  2 128 ;  3 108 ;  1 541 ;  1 567 ;  1 182 ;   621 ;   561 ;3532058;;;;;;;;
Motuca;  4 290 ;  2 162 ;  2 128 ;  3 108 ;  1 541 ;  1 567 ;  1 182 ;   621 ;   561 ;353205805;;;;;;;;
Murutinga do Sul;  4 186 ;  2 097 ;  2 089 ;  2 573 ;  1 231 ;  1 342 ;  1 613 ;   866 ;   747 ;3532108;;;;;;;;
Murutinga do Sul;  4 186 ;  2 097 ;  2 089 ;  2 573 ;  1 231 ;  1 342 ;  1 613 ;   866 ;   747 ;353210805;;;;;;;;
Nantes;  2 707 ;  1 357 ;  1 350 ;  2 431 ;  1 211 ;  1 220 ;   276 ;   146 ;   130 ;3532157;;;;;;;;
Nantes;  2 707 ;  1 357 ;  1 350 ;  2 431 ;  1 211 ;  1 220 ;   276 ;   146 ;   130 ;353215705;;;;;;;;
Narandiba;  4 288 ;  2 170 ;  2 118 ;  3 105 ;  1 543 ;  1 562 ;  1 183 ;   627 ;   556 ;3532207;;;;;;;;
Narandiba;  4 288 ;  2 170 ;  2 118 ;  3 105 ;  1 543 ;  1 562 ;  1 183 ;   627 ;   556 ;353220705;;;;;;;;
Natividade da Serra;  6 678 ;  3 486 ;  3 192 ;  2 788 ;  1 383 ;  1 405 ;  3 890 ;  2 103 ;  1 787 ;3532306;;;;;;;;
Bairro Alto;  1 556 ;   821 ;   735 ;   277 ;   142 ;   135 ;  1 279 ;   679 ;   600 ;353230610;;;;;;;;
Natividade da Serra;  5 122 ;  2 665 ;  2 457 ;  2 511 ;  1 241 ;  1 270 ;  2 611 ;  1 424 ;  1 187 ;353230605;;;;;;;;
Nazaré Paulista;  16 414 ;  8 454 ;  7 960 ;  13 911 ;  7 116 ;  6 795 ;  2 503 ;  1 338 ;  1 165 ;3532405;;;;;;;;
Nazaré Paulista;  16 414 ;  8 454 ;  7 960 ;  13 911 ;  7 116 ;  6 795 ;  2 503 ;  1 338 ;  1 165 ;353240505;;;;;;;;
Neves Paulista;  8 772 ;  4 363 ;  4 409 ;  7 916 ;  3 908 ;  4 008 ;   856 ;   455 ;   401 ;3532504;;;;;;;;
Barra Dourada;   441 ;   235 ;   206 ;   101 ;   46 ;   55 ;   340 ;   189 ;   151 ;353250410;;;;;;;;
Miraluz;   457 ;   226 ;   231 ;   148 ;   69 ;   79 ;   309 ;   157 ;   152 ;353250415;;;;;;;;
Neves Paulista;  7 874 ;  3 902 ;  3 972 ;  7 667 ;  3 793 ;  3 874 ;   207 ;   109 ;   98 ;353250405;;;;;;;;
Nhandeara;  10 725 ;  5 281 ;  5 444 ;  8 688 ;  4 197 ;  4 491 ;  2 037 ;  1 084 ;   953 ;3532603;;;;;;;;
Ida Iolanda;  1 138 ;   598 ;   540 ;   961 ;   498 ;   463 ;   177 ;   100 ;   77 ;353260310;;;;;;;;
Nhandeara;  9 587 ;  4 683 ;  4 904 ;  7 727 ;  3 699 ;  4 028 ;  1 860 ;   984 ;   876 ;353260305;;;;;;;;
Nipoã;  4 274 ;  2 262 ;  2 012 ;  3 797 ;  2 002 ;  1 795 ;   477 ;   260 ;   217 ;3532702;;;;;;;;
Nipoã;  4 274 ;  2 262 ;  2 012 ;  3 797 ;  2 002 ;  1 795 ;   477 ;   260 ;   217 ;353270205;;;;;;;;
Nova Aliança;  5 891 ;  2 922 ;  2 969 ;  4 881 ;  2 403 ;  2 478 ;  1 010 ;   519 ;   491 ;3532801;;;;;;;;
Nova Aliança;  4 571 ;  2 229 ;  2 342 ;  3 930 ;  1 910 ;  2 020 ;   641 ;   319 ;   322 ;353280105;;;;;;;;
Nova Itapirema;  1 320 ;   693 ;   627 ;   951 ;   493 ;   458 ;   369 ;   200 ;   169 ;353280110;;;;;;;;
Nova Campina;  8 515 ;  4 345 ;  4 170 ;  5 762 ;  2 909 ;  2 853 ;  2 753 ;  1 436 ;  1 317 ;3532827;;;;;;;;
Itaoca de Cima;  1 381 ;   711 ;   670 ;   884 ;   450 ;   434 ;   497 ;   261 ;   236 ;353282715;;;;;;;;
Nova Campina;  7 134 ;  3 634 ;  3 500 ;  4 878 ;  2 459 ;  2 419 ;  2 256 ;  1 175 ;  1 081 ;353282705;;;;;;;;
Nova Canaã Paulista;  2 114 ;  1 076 ;  1 038 ;   880 ;   434 ;   446 ;  1 234 ;   642 ;   592 ;3532843;;;;;;;;
Nova Canaã Paulista;  2 114 ;  1 076 ;  1 038 ;   880 ;   434 ;   446 ;  1 234 ;   642 ;   592 ;353284305;;;;;;;;
Nova Castilho;  1 125 ;   556 ;   569 ;   746 ;   355 ;   391 ;   379 ;   201 ;   178 ;3532868;;;;;;;;
Nova Castilho;  1 125 ;   556 ;   569 ;   746 ;   355 ;   391 ;   379 ;   201 ;   178 ;353286805;;;;;;;;
Nova Europa;  9 300 ;  4 649 ;  4 651 ;  8 625 ;  4 290 ;  4 335 ;   675 ;   359 ;   316 ;3532900;;;;;;;;
Nova Europa;  9 300 ;  4 649 ;  4 651 ;  8 625 ;  4 290 ;  4 335 ;   675 ;   359 ;   316 ;353290005;;;;;;;;
Nova Granada;  19 180 ;  9 659 ;  9 521 ;  17 775 ;  8 923 ;  8 852 ;  1 405 ;   736 ;   669 ;3533007;;;;;;;;
Ingás;   405 ;   206 ;   199 ;   175 ;   93 ;   82 ;   230 ;   113 ;   117 ;353300710;;;;;;;;
Mangaratu;   547 ;   284 ;   263 ;   342 ;   177 ;   165 ;   205 ;   107 ;   98 ;353300715;;;;;;;;
Nova Granada;  17 921 ;  9 009 ;  8 912 ;  17 117 ;  8 581 ;  8 536 ;   804 ;   428 ;   376 ;353300705;;;;;;;;
Onda Branca;   307 ;   160 ;   147 ;   141 ;   72 ;   69 ;   166 ;   88 ;   78 ;353300720;;;;;;;;
Nova Guataporanga;  2 177 ;  1 102 ;  1 075 ;  1 890 ;   954 ;   936 ;   287 ;   148 ;   139 ;3533106;;;;;;;;
Nova Guataporanga;  2 177 ;  1 102 ;  1 075 ;  1 890 ;   954 ;   936 ;   287 ;   148 ;   139 ;353310605;;;;;;;;
Nova Independência;  3 068 ;  1 525 ;  1 543 ;  2 446 ;  1 224 ;  1 222 ;   622 ;   301 ;   321 ;3533205;;;;;;;;
Nova Independência;  3 068 ;  1 525 ;  1 543 ;  2 446 ;  1 224 ;  1 222 ;   622 ;   301 ;   321 ;353320505;;;;;;;;
Nova Luzitânia;  3 441 ;  1 820 ;  1 621 ;  3 087 ;  1 631 ;  1 456 ;   354 ;   189 ;   165 ;3533304;;;;;;;;
Nova Luzitânia;  3 441 ;  1 820 ;  1 621 ;  3 087 ;  1 631 ;  1 456 ;   354 ;   189 ;   165 ;353330405;;;;;;;;
Nova Odessa;  51 242 ;  25 345 ;  25 897 ;  50 407 ;  24 901 ;  25 506 ;   835 ;   444 ;   391 ;3533403;;;;;;;;
Nova Odessa;  51 242 ;  25 345 ;  25 897 ;  50 407 ;  24 901 ;  25 506 ;   835 ;   444 ;   391 ;353340305;;;;;;;;
Novais;  4 592 ;  2 479 ;  2 113 ;  4 181 ;  2 255 ;  1 926 ;   411 ;   224 ;   187 ;3533254;;;;;;;;
Novais;  4 592 ;  2 479 ;  2 113 ;  4 181 ;  2 255 ;  1 926 ;   411 ;   224 ;   187 ;353325405;;;;;;;;
Novo Horizonte;  36 593 ;  18 271 ;  18 322 ;  34 048 ;  16 903 ;  17 145 ;  2 545 ;  1 368 ;  1 177 ;3533502;;;;;;;;
Novo Horizonte;  36 208 ;  18 069 ;  18 139 ;  33 904 ;  16 834 ;  17 070 ;  2 304 ;  1 235 ;  1 069 ;353350205;;;;;;;;
Vale Formoso;   385 ;   202 ;   183 ;   144 ;   69 ;   75 ;   241 ;   133 ;   108 ;353350210;;;;;;;;
Nuporanga;  6 817 ;  3 410 ;  3 407 ;  6 185 ;  3 065 ;  3 120 ;   632 ;   345 ;   287 ;3533601;;;;;;;;
Nuporanga;  6 817 ;  3 410 ;  3 407 ;  6 185 ;  3 065 ;  3 120 ;   632 ;   345 ;   287 ;353360105;;;;;;;;
Ocauçu;  4 163 ;  2 137 ;  2 026 ;  3 324 ;  1 685 ;  1 639 ;   839 ;   452 ;   387 ;3533700;;;;;;;;
Ocauçu;  4 163 ;  2 137 ;  2 026 ;  3 324 ;  1 685 ;  1 639 ;   839 ;   452 ;   387 ;353370005;;;;;;;;
Óleo;  2 673 ;  1 344 ;  1 329 ;  1 763 ;   854 ;   909 ;   910 ;   490 ;   420 ;3533809;;;;;;;;
Batista Botelho;   838 ;   439 ;   399 ;   319 ;   158 ;   161 ;   519 ;   281 ;   238 ;353380910;;;;;;;;
Óleo;  1 835 ;   905 ;   930 ;  1 444 ;   696 ;   748 ;   391 ;   209 ;   182 ;353380905;;;;;;;;
Olímpia;  50 024 ;  24 685 ;  25 339 ;  47 244 ;  23 244 ;  24 000 ;  2 780 ;  1 441 ;  1 339 ;3533908;;;;;;;;
Baguaçu;  1 692 ;   868 ;   824 ;  1 390 ;   706 ;   684 ;   302 ;   162 ;   140 ;353390810;;;;;;;;
Olímpia;  46 649 ;  22 968 ;  23 681 ;  44 644 ;  21 937 ;  22 707 ;  2 005 ;  1 031 ;   974 ;353390805;;;;;;;;
Ribeiro dos Santos;  1 683 ;   849 ;   834 ;  1 210 ;   601 ;   609 ;   473 ;   248 ;   225 ;353390815;;;;;;;;
Onda Verde;  3 884 ;  1 993 ;  1 891 ;  3 043 ;  1 549 ;  1 494 ;   841 ;   444 ;   397 ;3534005;;;;;;;;
Onda Verde;  3 884 ;  1 993 ;  1 891 ;  3 043 ;  1 549 ;  1 494 ;   841 ;   444 ;   397 ;353400505;;;;;;;;
Oriente;  6 097 ;  2 985 ;  3 112 ;  5 695 ;  2 769 ;  2 926 ;   402 ;   216 ;   186 ;3534104;;;;;;;;
Oriente;  6 097 ;  2 985 ;  3 112 ;  5 695 ;  2 769 ;  2 926 ;   402 ;   216 ;   186 ;353410405;;;;;;;;
Orindiúva;  5 675 ;  2 899 ;  2 776 ;  5 223 ;  2 658 ;  2 565 ;   452 ;   241 ;   211 ;3534203;;;;;;;;
Orindiúva;  5 675 ;  2 899 ;  2 776 ;  5 223 ;  2 658 ;  2 565 ;   452 ;   241 ;   211 ;353420305;;;;;;;;
Orlândia;  39 781 ;  19 495 ;  20 286 ;  38 756 ;  18 967 ;  19 789 ;  1 025 ;   528 ;   497 ;3534302;;;;;;;;
Orlândia;  39 781 ;  19 495 ;  20 286 ;  38 756 ;  18 967 ;  19 789 ;  1 025 ;   528 ;   497 ;353430205;;;;;;;;
Osasco;  666 740 ;  320 436 ;  346 304 ;  666 740 ;  320 436 ;  346 304 ;- ;- ;- ;3534401;;;;;;;;
Osasco;  666 740 ;  320 436 ;  346 304 ;  666 740 ;  320 436 ;  346 304 ;- ;- ;- ;353440105;;;;;;;;
Oscar Bressane;  2 537 ;  1 217 ;  1 320 ;  2 099 ;   989 ;  1 110 ;   438 ;   228 ;   210 ;3534500;;;;;;;;
Oscar Bressane;  2 537 ;  1 217 ;  1 320 ;  2 099 ;   989 ;  1 110 ;   438 ;   228 ;   210 ;353450005;;;;;;;;
Osvaldo Cruz;  30 917 ;  15 554 ;  15 363 ;  27 782 ;  13 334 ;  14 448 ;  3 135 ;  2 220 ;   915 ;3534609;;;;;;;;
Lagoa Azul;   244 ;   139 ;   105 ;   29 ;   18 ;   11 ;   215 ;   121 ;   94 ;353460910;;;;;;;;
Osvaldo Cruz;  30 673 ;  15 415 ;  15 258 ;  27 753 ;  13 316 ;  14 437 ;  2 920 ;  2 099 ;   821 ;353460905;;;;;;;;
Ourinhos;  103 035 ;  49 981 ;  53 054 ;  100 374 ;  48 586 ;  51 788 ;  2 661 ;  1 395 ;  1 266 ;3534708;;;;;;;;
Ourinhos;  103 035 ;  49 981 ;  53 054 ;  100 374 ;  48 586 ;  51 788 ;  2 661 ;  1 395 ;  1 266 ;353470805;;;;;;;;
Ouro Verde;  7 800 ;  3 866 ;  3 934 ;  7 176 ;  3 535 ;  3 641 ;   624 ;   331 ;   293 ;3534807;;;;;;;;
Ouro Verde;  7 800 ;  3 866 ;  3 934 ;  7 176 ;  3 535 ;  3 641 ;   624 ;   331 ;   293 ;353480705;;;;;;;;
Ouroeste;  8 405 ;  4 190 ;  4 215 ;  7 546 ;  3 732 ;  3 814 ;   859 ;   458 ;   401 ;3534757;;;;;;;;
